18,60,8,0
18,60,8,0
18,60,8,0
18,59,8,0
18,59,8,0
19,59,8,0
18,59,8,0
19,59,8,0
18,57,8,0
18,58,8,0
18,64,8,0
18,74,8,0
19,88,8,0
19,93,8,0
21,100,8,0
20,104,8,0
24,113,8,0
33,113,8,0
35,121,8,0
43,128,9,0
42,127,8,0
46,128,9,0
43,128,9,0
50,156,9,0
54,174,10,0
50,173,13,0
49,167,13,0
52,165,12,0
55,180,12,0
55,179,14,0
56,183,15,0
54,179,15,0
51,175,15,0
56,171,32,0
56,167,67,0
54,160,66,0
53,156,92,0
53,154,159,0
58,155,178,0
58,151,228,0
56,144,301,0
52,136,366,0
49,137,445,0
51,143,451,0
49,133,458,0
53,141,543,0
56,139,568,0
54,142,565,0
50,141,588,0
48,131,546,0
48,121,504,0
45,115,464,0
42,109,416,0
40,109,373,0
38,102,336,0
46,95,303,0
46,96,274,0
44,98,248,0
42,93,225,0
44,94,204,0
49,99,185,0
54,94,168,0
62,92,153,0
59,88,139,0
86,84,126,0
102,79,115,0
113,79,103,0
126,78,94,0
121,76,85,0
124,74,78,0
118,72,71,0
112,71,65,0
106,67,59,0
99,71,54,0
92,70,50,0
86,69,46,0
81,66,43,0
79,75,40,0
80,80,38,0
75,85,35,0
77,86,33,0
75,89,31,0
71,91,30,0
66,92,29,0
64,101,28,0
61,105,27,0
59,104,26,0
57,110,25,0
54,116,24,0
58,114,23,0
55,115,21,0
52,113,20,0
54,116,19,0
51,117,18,0
49,118,17,0
46,115,16,0
43,111,15,0
41,114,15,0
39,113,14,0
44,108,13,0
43,102,13,0
41,102,13,0
40,100,12,0
38,97,12,0
38,93,11,0
38,89,11,0
37,86,11,0
35,81,11,0
34,76,10,0
33,72,10,0
31,71,10,0
30,67,10,0
29,65,10,0
28,62,10,0
27,58,9,0
27,57,9,0
27,55,9,0
27,51,9,0
30,49,9,0
29,49,9,0
29,47,9,0
29,44,9,0
28,43,9,0
27,42,9,0
27,40,9,0
26,38,9,0
26,39,9,0
25,38,8,0
24,36,8,0
24,36,8,0
29,35,8,0
29,34,8,0
30,34,8,0
29,35,8,0
31,34,8,0
31,33,8,0
31,32,8,0
34,31,8,0
34,29,8,0
32,28,8,0
33,28,8,0
32,27,8,0
31,26,8,0
30,25,8,0
29,25,8,0
28,24,8,0
27,24,8,0
26,23,8,0
25,23,8,0
25,22,8,0
24,22,8,0
23,21,8,0
23,21,8,0
23,20,8,0
22,21,8,0
22,22,8,0
21,23,8,0
21,25,8,0
21,27,8,0
20,27,8,0
20,26,8,0
20,25,8,0
19,24,8,0
19,23,8,0
19,23,8,0
19,22,8,0
19,22,8,0
19,22,8,0
19,22,8,0
18,22,8,0
18,22,8,0
18,21,8,0
18,21,8,0
18,21,8,0
18,21,8,0
18,21,8,0
17,22,8,0
17,22,8,0
17,22,8,0
17,23,8,0
17,25,8,0
17,25,8,0
17,25,8,0
17,26,8,0
17,27,8,0
17,27,8,0
17,28,8,0
17,30,8,0
17,30,8,0
17,31,8,0
17,32,8,0
17,34,8,0
17,35,8,0
17,34,8,0
17,39,8,0
17,38,8,0
17,38,8,0
17,39,8,0
17,40,8,0
17,40,8,0
17,42,8,0
17,44,8,0
17,47,8,0
17,48,8,0
17,50,8,0
17,49,8,0
17,51,8,0
17,54,8,0
17,55,8,0
17,56,8,0
17,56,8,0
17,58,8,0
17,59,8,0
17,59,8,0
17,60,8,0
17,59,8,0
17,59,8,0
17,59,8,0
17,60,8,0
17,59,8,0
17,57,8,0
17,57,8,0
17,57,8,0
17,56,8,0
17,55,8,0
17,56,8,0
17,56,8,0
17,54,8,0
17,54,8,0
17,55,8,0
17,54,8,0
17,53,8,0
17,53,8,0
17,53,8,0
17,52,8,0
17,54,8,0
17,53,8,0
17,52,8,0
17,50,8,0
17,50,8,0
17,50,8,0
17,48,8,0
17,47,8,0
17,47,8,0
17,46,8,0
17,45,8,0
17,45,8,0
17,44,8,0
17,42,8,0
17,42,8,0
17,42,8,0
17,41,8,0
17,39,8,0
17,39,8,0
17,38,8,0
17,37,8,0
17,36,8,0
17,36,8,0
17,34,8,0
17,33,8,0
17,33,8,0
17,33,8,0
17,32,8,0
17,31,8,0
17,32,8,0
17,31,8,0
17,30,8,0
17,31,8,0
17,30,8,0
17,29,8,0
17,29,8,0
17,29,8,0
17,28,8,0
17,27,8,0
17,27,8,0
17,26,8,0
17,26,8,0
17,26,8,0
17,26,8,0
17,25,8,0
17,24,8,0
17,25,8,0
17,25,8,0
17,24,8,0
17,24,8,0
17,25,8,0
17,24,8,0
17,24,8,0
17,24,8,0
17,25,8,0
17,24,8,0
17,24,8,0
17,25,8,0
17,24,8,0
17,24,8,0
17,25,8,0
17,25,8,0
17,24,8,0
17,24,8,0
17,25,8,0
